LocationDetailsId	Neighborhoods	Zipcode	Location
SD000085	Mission	94103	"(37.767803224007494, -122.42384727750341)"
SD000086	West of Twin Peaks	94127	"(37.73705593143812, -122.45075214425573)"
SD000087	Sunset/Parkside	94122	"(37.75621545830228, -122.49306186434029)"
SD000088	Potrero Hill	94107	"(37.76202178439342, -122.38826514026925)"
SD000089	Nob Hill	94102	"(37.78825121688438, -122.41146785677651)"
SD000090	Outer Mission	94112	"(37.730139787696956, -122.43533983944396)"
SD000091	Pacific Heights	94115	"(37.792965924560555, -122.44004730457532)"
SD000092	Castro/Upper Market	94114	"(37.766709925499164, -122.4274402697519)"
SD000093	Sunset/Parkside	94132	"(37.73008782351444, -122.4966960131682)"
SD000094	Haight Ashbury	94117	"(37.76352159771737, -122.44881651584217)"
SD000095	West of Twin Peaks	94132	"(37.73516210336107, -122.4728963343555)"
SD000096	Seacliff	94121	"(37.78453211426468, -122.49152939423233)"
SD000097	Pacific Heights	94109	"(37.7944288803001, -122.42417539326036)"
SD000098	Noe Valley	94114	"(37.75410519830144, -122.43149042232432)"
SD000099	North Beach	94133	"(37.798441405243366, -122.40453013400315)"
SD000100	Hayes Valley	94102	"(37.77388999322952, -122.42187716394463)"
SD000101	West of Twin Peaks	94127	"(37.73359193956749, -122.47099383401202)"
SD000102	Excelsior	94112	"(37.717166510045864, -122.43106322526448)"
SD000103	Bayview Hunters Point	94124	"(37.73700032798866, -122.38843363882975)"
SD000104	Mission	94103	"(37.765591049760545, -122.41804336585686)"
SD000105	Glen Park	94131	"(37.73559886811672, -122.43926839468602)"
SD000106	Castro/Upper Market	94114	"(37.76651777069223, -122.43172675148759)"
SD000107	Lone Mountain/USF	94115	"(37.77766630623992, -122.44312628610798)"
SD000108	Outer Richmond	94121	"(37.77803916269284, -122.481901282161)"
SD000109	Pacific Heights	94115	"(37.787478961114495, -122.4330158128231)"
SD000110	Pacific Heights	94115	"(37.788003880703684, -122.42895778438877)"
SD000111	Russian Hill	94109	"(37.79632395221465, -122.42121154101795)"
SD000112	Presidio Heights	94118	"(37.782807909050014, -122.44884300414319)"
SD000113	Presidio Heights	94118	"(37.78463398652189, -122.45832172965066)"
SD000114	Outer Richmond	94121	"(37.7752309388754, -122.47762242167464)"
SD000115	Inner Sunset	94122	"(37.764996635961054, -122.46287314847817)"
SD000116	Castro/Upper Market	94114	"(37.75894757819365, -122.43515070315354)"
SD000117	Presidio Heights	94118	"(37.78913569799288, -122.45597194312951)"
SD000118	Bernal Heights	94110	"(37.74794392347797, -122.41595646296254)"
SD000119	Pacific Heights	94123	"(37.79428763936138, -122.43716922818784)"
SD000120	Noe Valley	94114	"(37.75269094201529, -122.42941634543229)"
SD000121	Pacific Heights	94115	"(37.79061478242452, -122.43143399307394)"
SD000122	Russian Hill	94109	"(37.79920267436492, -122.41757943201921)"
SD000123	Presidio Heights	94118	"(37.78333681661704, -122.4477497935975)"
SD000124	Inner Sunset	94122	"(37.76493660127132, -122.46236623244532)"
SD000125	Inner Sunset	94122	"(37.76233913310087, -122.46806186204745)"
SD000126	West of Twin Peaks	94132	"(37.71910911764375, -122.47298441439646)"
SD000127	Mission	94110	"(37.758779763877904, -122.41875880858186)"
SD000128	Outer Mission	94112	"(37.71288355934047, -122.45021889608776)"
SD000129	Noe Valley	94131	"(37.745505146722834, -122.43302239165239)"
SD000130	Outer Mission	94112	"(37.71453724107775, -122.44467918444445)"
SD000131	Mission Bay	94158	"(37.77493139201804, -122.39108182882794)"
SD000132	Bayview Hunters Point	94124	"(37.73447224926601, -122.38511569312604)"
SD000133	North Beach	94133	"(37.80121069745772, -122.40478817732478)"
SD000134	Haight Ashbury	94117	"(37.769820435087446, -122.44655646877935)"
SD000135	Potrero Hill	94107	"(37.76400518388006, -122.38951590521134)"
SD000136	Pacific Heights	94115	"(37.78965663725613, -122.43037018413833)"
SD000137	Glen Park	94131	"(37.73654164176834, -122.43863441679102)"
SD000138	North Beach	94133	"(37.80449360424344, -122.41356909310956)"
SD000139	Marina	94123	"(37.803869439619994, -122.43958912649552)"
SD000140	Portola	94134	"(37.73051273401248, -122.41545645881445)"
SD000141	Sunset/Parkside	94116	"(37.744592121474696, -122.47882331031992)"
SD000142	Pacific Heights	94115	"(37.79127445330236, -122.44074501114277)"
SD000143	Castro/Upper Market	94114	"(37.76293239092345, -122.43129577588667)"
SD000144	Russian Hill	94109	"(37.8003184862014, -122.42125881198643)"
SD000145	Glen Park	94131	"(37.735981527912884, -122.43872092797929)"
SD000146	Inner Sunset	94122	"(37.76286386895777, -122.47459997102352)"
SD000147	Lakeshore	94132	"(37.728556952954136, -122.47676641508518)"
SD000148	Mission	94110	"(37.76204815115591, -122.41885345310105)"
SD000149	Seacliff	94121	"(37.7841861992862, -122.48792305183007)"
SD000150	Bayview Hunters Point	94124	"(37.72925127944513, -122.36880718927642)"
SD000151	Sunset/Parkside	94116	"(37.75066463499813, -122.50712669318173)"
SD000152	Sunset/Parkside	94122	"(37.75883731254179, -122.477539387906)"
SD000153	Inner Sunset	94131	"(37.75646787259208, -122.4545438554687)"
SD000154	Noe Valley	94114	"(37.75541625772835, -122.42833082642679)"
SD000155	Sunset/Parkside	94116	"(37.73934626628503, -122.48758347495485)"
SD000156	Sunset/Parkside	94122	"(37.76139901302177, -122.49112422939781)"
SD000157	Outer Richmond	94121	"(37.77987733567652, -122.49609443275273)"
SD000158	Inner Sunset	94116	"(37.751340494946135, -122.4733782394048)"
SD000159	Marina	94123	"(37.80301146297108, -122.42529094059974)"
SD000160	Potrero Hill	94107	"(37.75158007468392, -122.40249544070068)"
SD000161	Russian Hill	94109	"(37.793802096545164, -122.42260692047512)"
SD000162	Pacific Heights	94115	"(37.786958161874715, -122.43977919025461)"
SD000163	Outer Richmond	94121	"(37.78449032578954, -122.4853886030148)"
SD000164	Russian Hill	94109	"(37.80607186712891, -122.4192366259039)"
SD000165	West of Twin Peaks	94132	"(37.73192509825789, -122.4743257340367)"
SD000166	Lone Mountain/USF	94118	"(37.7806078029894, -122.45266415600503)"
SD000167	Mission	94110	"(37.75857521942282, -122.42405868304797)"
SD000168	Financial District/South Beach	94107	"(37.78425007225848, -122.39270732670997)"
SD000169	Mission Bay	94107	"(37.765472876552614, -122.39711642541226)"
SD000170	Noe Valley	94114	"(37.75591516022143, -122.43420189099197)"
SD000171	West of Twin Peaks	94116	"(37.75069666496609, -122.46378214239746)"
SD000172	West of Twin Peaks	94127	"(37.741720018633224, -122.46688842237162)"
SD000173	Haight Ashbury	94117	"(37.771524707639244, -122.43688341032507)"
SD000174	Marina	94123	"(37.80235696798672, -122.44048407112177)"
SD000175	West of Twin Peaks	94127	"(37.74573423505034, -122.455102909195)"
SD000176	Sunset/Parkside	94122	"(37.75281865313407, -122.48678773755947)"
SD000177	Outer Richmond	94121	"(37.78234454742188, -122.4832013967297)"
SD000178	Castro/Upper Market	94114	"(37.76314807829388, -122.42787613721187)"
SD000179	Bernal Heights	94110	"(37.74537000058627, -122.41722011921856)"
SD000180	Bayview Hunters Point	94124	"(37.72861540638264, -122.38191501623058)"
SD000181	Lone Mountain/USF	94118	"(37.78054741600869, -122.45362048715083)"
SD000182	Seacliff	94121	"(37.786173496277385, -122.47997420782)"
SD000183	West of Twin Peaks	94116	"(37.746024608959274, -122.47257378357139)"
SD000184	Inner Richmond	94118	"(37.77674423081191, -122.4701327567033)"
SD000185	Mission	94110	"(37.753414680243154, -122.41232887670373)"
SD000186	Castro/Upper Market	94114	"(37.75815747171081, -122.436615255065)"
SD000187	Outer Richmond	94121	"(37.77555257211924, -122.4905224368016)"
SD000188	Marina	94123	"(37.79837897447465, -122.43492864009883)"
SD000189	Noe Valley	94131	"(37.744958746599366, -122.42839156196601)"
SD000190	Castro/Upper Market	94114	"(37.757536435373105, -122.42718420542394)"
SD000191	Outer Mission	94112	"(37.71208742162024, -122.44894932616295)"
SD000192	Outer Richmond	94121	"(37.78428196441806, -122.4793981431337)"
SD000193	West of Twin Peaks	94127	"(37.74298364241189, -122.4656863202919)"
SD000194	Presidio Heights	94118	"(37.785468938841646, -122.45314862421887)"
SD000195	Western Addition	94115	"(37.77893930202488, -122.43895938159298)"
SD000196	Hayes Valley	94117	"(37.77381342425153, -122.4297954176938)"
SD000197	Glen Park	94131	"(37.74072818611434, -122.42903974503342)"
SD000198	Marina	94123	"(37.800341899441506, -122.44607429045709)"
SD000199	Outer Mission	94112	"(37.73094556653939, -122.4346116154881)"
SD000200	Potrero Hill	94107	"(37.755018591061294, -122.40194673787852)"
SD000201	Sunset/Parkside	94116	"(37.75149224187981, -122.48842971893386)"
SD000202	West of Twin Peaks	94127	"(37.731058718346006, -122.4631981160299)"
SD000203	Mission	94110	"(37.76201551889183, -122.42553110722454)"
SD000204	Noe Valley	94114	"(37.74996784145991, -122.43348205013953)"
SD000205	Financial District/South Beach	94107	"(37.78435248759838, -122.3912359993388)"
SD000206	Seacliff	94121	"(37.7860816808618, -122.48699288648925)"
SD000207	Sunset/Parkside	94132	"(37.73140039218636, -122.49198303277937)"
SD000208	West of Twin Peaks	94127	"(37.734727191141, -122.45713789212121)"
SD000209	Noe Valley	94131	"(37.747367244547405, -122.4284056321573)"
SD000210	Excelsior	94112	"(37.721393085987025, -122.43154437852836)"
SD000211	Haight Ashbury	94117	"(37.77146943299666, -122.4482057969844)"
SD000212	Sunset/Parkside	94132	"(37.73203667330702, -122.48211387681684)"
SD000213	Oceanview/Merced/Ingleside	94112	"(37.72346002685651, -122.45685129172125)"
SD000214	Sunset/Parkside	94116	"(37.74693594173897, -122.50687186697168)"
SD000215	Inner Richmond	94118	"(37.781649435404205, -122.46250879368905)"
SD000216	Potrero Hill	94107	"(37.76348212412382, -122.3972751584567)"
SD000217	West of Twin Peaks	94127	"(37.74176564574048, -122.46117906730592)"
SD000218	Mission	94110	"(37.76410661744883, -122.4164869356017)"
SD000219	West of Twin Peaks	94127	"(37.73939776536163, -122.46785372019002)"
SD000220	Mission	94110	"(37.75773124754089, -122.42475634702434)"
SD000221	Noe Valley	94114	"(37.7504706177232, -122.43205741531732)"
SD000222	West of Twin Peaks	94127	"(37.74041248729005, -122.45150761340022)"
SD000223	Nob Hill	94133	"(37.7976496994472, -122.41467453402406)"
SD000224	Pacific Heights	94115	"(37.79116931991321, -122.43990438120825)"
SD000225	Excelsior	94112	"(37.72280027471886, -122.42938826980279)"
SD000226	Chinatown	94108	"(37.79510295678069, -122.41119636715658)"
SD000227	South of Market	94103	"(37.76997818163315, -122.4086351753452)"
SD000228	Inner Richmond	94118	"(37.78352814983807, -122.466283146575)"
SD000229	Outer Richmond	94121	"(37.773847491632644, -122.48502905717686)"
SD000230	Portola	94134	"(37.73088648720976, -122.41311280932838)"
SD000231	Mission	94103	"(37.76449129490124, -122.42135077303065)"
SD000232	Tenderloin	94102	"(37.78567884882457, -122.40925257974486)"
SD000233	Sunset/Parkside	94122	"(37.76068369296666, -122.49056667934451)"
SD000234	Mission	94110	"(37.75497488897794, -122.41576123928883)"
SD000235	Russian Hill	94133	"(37.79931630762963, -122.41529776779562)"
SD000236	Inner Sunset	94122	"(37.7573959280912, -122.46981368464583)"
SD000237	Haight Ashbury	94117	"(37.77193702091537, -122.44155378372128)"
SD000238	West of Twin Peaks	94127	"(37.72505887340196, -122.46251216066962)"
SD000239	Nob Hill	94133	"(37.79607890173534, -122.41207994621041)"
SD000240	Bernal Heights	94110	"(37.742847904917774, -122.41815222396376)"
SD000241	Oceanview/Merced/Ingleside	94112	"(37.721625514004316, -122.45639117722844)"
SD000242	Sunset/Parkside	94122	"(37.75618286173708, -122.48446170147965)"
SD000243	Russian Hill	94109	"(37.79846873828364, -122.41912742906928)"
SD000244	Castro/Upper Market	94114	"(37.757906709605614, -122.42823677667955)"
SD000245	Inner Sunset	94122	"(37.75721698906104, -122.46723916860911)"
SD000246	Mission	94110	"(37.764459498123195, -122.42516157021869)"
SD000247	Sunset/Parkside	94122	"(37.75882553104969, -122.48249633066014)"
SD000248	West of Twin Peaks	94127	"(37.73741084670708, -122.45310033189212)"
SD000249	Sunset/Parkside	94116	"(37.74765775643412, -122.50637523856267)"
SD000250	Sunset/Parkside	94116	"(37.73727882390037, -122.50140809007762)"
SD000251	Excelsior	94112	"(37.70922998995227, -122.43509112692166)"
SD000252	Castro/Upper Market	94114	"(37.76915706305126, -122.4299905859856)"
SD000253	Oceanview/Merced/Ingleside	94112	"(37.72121053843493, -122.44995659546552)"
SD000254	Sunset/Parkside	94116	"(37.744850366353184, -122.50558340936092)"
SD000255	Presidio Heights	94115	"(37.78604582579091, -122.44541617214499)"
SD000256	Sunset/Parkside	94122	"(37.76079929246223, -122.4939101678827)"
SD000257	Noe Valley	94131	"(37.748186800576896, -122.42678279220607)"
SD000258	Tenderloin	94102	"(37.78751624919799, -122.41309791217675)"
SD000259	Sunset/Parkside	94122	"(37.75581598886958, -122.48885313916767)"
SD000260	Outer Richmond	94121	"(37.782155781736684, -122.47867505482324)"
SD000261	Oceanview/Merced/Ingleside	94132	"(37.719305116135274, -122.4683275778281)"
SD000262	Inner Richmond	94118	"(37.78851467424946, -122.46170639385834)"
SD000263	Sunset/Parkside	94132	"(37.73106687947988, -122.49078433016548)"
SD000264	Potrero Hill	94107	"(37.76319207820526, -122.3953012900749)"
SD000265	Potrero Hill	94107	"(37.75920790747292, -122.3900275228678)"
SD000266	Presidio Heights	94118	"(37.78540354243316, -122.45833430254389)"
SD000267	Bayview Hunters Point	94124	"(37.7329823514789, -122.3942217171187)"
SD000268	Sunset/Parkside	94116	"(37.74254866283791, -122.50285410263992)"
SD000269	Inner Richmond	94118	"(37.77604980802074, -122.46532826908104)"
SD000270	Pacific Heights	94115	"(37.786094085816494, -122.43888845720471)"
SD000271	Outer Richmond	94121	"(37.7729550047326, -122.50752955889494)"
SD000272	Mission	94110	"(37.753086370269585, -122.41774098143286)"
SD000273	Mission	94110	"(37.75312252750188, -122.40754697153636)"
SD000274	Bernal Heights	94110	"(37.73766742665229, -122.40987377134242)"
SD000275	Bernal Heights	94110	"(37.7392492994672, -122.42018975187412)"
SD000276	Castro/Upper Market	94117	"(37.765682196241684, -122.44210320978817)"
SD000277	Bernal Heights	94110	"(37.74474125152498, -122.41112487658047)"
SD000278	Inner Sunset	94122	"(37.759990357802764, -122.46772776495428)"
SD000279	Sunset/Parkside	94122	"(37.7595046936047, -122.50015686091953)"
SD000280	West of Twin Peaks	94127	"(37.7354621305908, -122.46120437746407)"
SD000281	Inner Sunset	94117	"(37.76147635795409, -122.44745240097343)"
SD000282	Mission	94110	"(37.75128217473584, -122.41149688292194)"
SD000283	Haight Ashbury	94117	"(37.76215299955888, -122.44754590526668)"
SD000284	Potrero Hill	94107	"(37.75475764399307, -122.3912029006901)"
SD000285	Noe Valley	94114	"(37.74829247719095, -122.4345755125201)"
SD000286	South of Market	94103	"(37.77799786977132, -122.4118730402164)"
SD000287	Marina	94123	"(37.798085818675, -122.44561012023107)"
SD000288	Mission	94110	"(37.75008317098422, -122.41966008697759)"
SD000289	Hayes Valley	94117	"(37.775562033124665, -122.43859390289228)"
SD000290	Sunset/Parkside	94122	"(37.75984454003858, -122.48465358726924)"
SD000291	South of Market	94103	"(37.77463654540948, -122.41316885998522)"
SD000292	Inner Sunset	94122	"(37.765525044767124, -122.46716133796545)"
SD000293	Twin Peaks	94131	"(37.74980209627221, -122.44792161738442)"
SD000294	Pacific Heights	94115	"(37.794075905264, -122.43350267670644)"
SD000295	Sunset/Parkside	94116	"(37.73665174831098, -122.5045891325332)"
SD000296	Outer Richmond	94121	"(37.785750760119925, -122.479590916983)"
SD000297	Lone Mountain/USF	94118	"(37.77787514573446, -122.4510086546218)"
SD000298	Marina	94123	"(37.80438162804891, -122.43874250784548)"
SD000299	West of Twin Peaks	94127	"(37.74225451144638, -122.4679573958565)"
SD000300	Presidio	94121	"(37.788760157011545, -122.48413986573476)"
SD000301	West of Twin Peaks	94116	"(37.747610844101544, -122.47526939256578)"
SD000302	Sunset/Parkside	94116	"(37.736828254592034, -122.49514045847565)"
SD000303	Bernal Heights	94110	"(37.73720474897544, -122.4178227092551)"
SD000304	Inner Sunset	94131	"(37.75574787038647, -122.45548880847342)"
SD000305	South of Market	94103	"(37.77877319618685, -122.41092329057406)"
SD000306	Russian Hill	94133	"(37.80108349665757, -122.41324799543602)"
SD000307	Bayview Hunters Point	94134	"(37.70981618472352, -122.40088946101946)"
SD000308	Oceanview/Merced/Ingleside	94132	"(37.71655566694864, -122.46920108439063)"
SD000309	Sunset/Parkside	94132	"(37.73123158329166, -122.49541092032602)"
SD000310	Pacific Heights	94115	"(37.79090437974871, -122.44412131559636)"
SD000311	West of Twin Peaks	94132	"(37.72902137990703, -122.47261862315561)"
SD000312	Sunset/Parkside	94132	"(37.73267210287679, -122.4865720326495)"
SD000313	Mission	94103	"(37.77280559499975, -122.41998365691026)"
SD000314	Twin Peaks	94131	"(37.7548796522453, -122.44939646047803)"
SD000315	Bernal Heights	94110	"(37.7365976833452, -122.41789313200934)"
SD000316	Portola	94134	"(37.72984545754497, -122.40621259336024)"
SD000317	Sunset/Parkside	94122	"(37.75125074256327, -122.506625392401)"
SD000318	Inner Sunset	94122	"(37.759420555662466, -122.46739311970917)"
SD000319	Sunset/Parkside	94116	"(37.750144295446034, -122.47967150470025)"
SD000320	Pacific Heights	94109	"(37.79015393965488, -122.42635337282164)"
SD000321	Marina	94123	"(37.80400212326458, -122.43835642689207)"
SD000322	Mission	94103	"(37.764026600526215, -122.42127591284361)"
SD000323	Lone Mountain/USF	94118	"(37.775187478213105, -122.45566108760157)"
SD000324	West of Twin Peaks	94127	"(37.742028276736804, -122.44829384038354)"
SD000325	Outer Mission	94112	"(37.72382199280158, -122.43837976338375)"
SD000326	Russian Hill	94109	"(37.805369082721604, -122.42087027546201)"
SD000327	Visitacion Valley	94134	"(37.71802273576662, -122.40148553664113)"
SD000328	Sunset/Parkside	94116	"(37.74414990741382, -122.49887297785526)"
SD000329	Sunset/Parkside	94116	"(37.75110181499787, -122.49419910706146)"
SD000330	Bernal Heights	94110	"(37.74840409553674, -122.40696896749617)"
SD000331	Inner Richmond	94118	"(37.77936951786711, -122.4639434265261)"
SD000332	Haight Ashbury	94117	"(37.771549329586456, -122.4366912847838)"
SD000333	Castro/Upper Market	94114	"(37.75874157400704, -122.44332037539147)"
SD000334	Mission	94103	"(37.76532470463021, -122.42381978923994)"
SD000335	Lone Mountain/USF	94118	"(37.77766284387421, -122.44810294411687)"
SD000336	West of Twin Peaks	94127	"(37.742813115108056, -122.45457759167421)"
SD000337	Glen Park	94131	"(37.73456039947469, -122.43075872248515)"
SD000338	Outer Richmond	94118	"(37.78085657756926, -122.47316094077247)"
SD000339	Noe Valley	94114	"(37.75014540533951, -122.43573714474287)"
SD000340	Presidio Heights	94118	"(37.78886738032264, -122.45245424070185)"
SD000341	Sunset/Parkside	94116	"(37.738937990042665, -122.50624045676821)"
SD000342	Outer Richmond	94121	"(37.781507533307355, -122.48086857548815)"
SD000343	Castro/Upper Market	94114	"(37.761912632982224, -122.43033572793827)"
SD000344	Mission	94110	"(37.76433264176412, -122.42212807064836)"
SD000345	Bernal Heights	94112	"(37.73334799941519, -122.42397665031274)"
SD000346	Bernal Heights	94110	"(37.742119846514605, -122.42310483354925)"
SD000347	Hayes Valley	94117	"(37.7757009905304, -122.42976295239839)"
SD000348	Noe Valley	94114	"(37.75111980039364, -122.43378355512739)"
SD000349	Lone Mountain/USF	94118	"(37.77808780871857, -122.44549228597589)"
SD000350	Noe Valley	94131	"(37.74468506046699, -122.43377279431799)"
SD000351	Pacific Heights	94115	"(37.79335897262146, -122.43709087263234)"
SD000352	Outer Richmond	94121	"(37.78534967809482, -122.48478879792893)"
SD000353	Noe Valley	94110	"(37.74609305753961, -122.42292875746443)"
SD000354	Inner Richmond	94118	"(37.77427984730602, -122.46346783278706)"
SD000355	Potrero Hill	94158	"(37.76571144362379, -122.39327212096785)"
SD000356	Marina	94123	"(37.797549673445886, -122.43371327499906)"
SD000357	Potrero Hill	94107	"(37.76244613599683, -122.3961985240788)"
SD000358	South of Market	94103	"(37.77953102306018, -122.40878136262884)"
SD000359	Inner Richmond	94118	"(37.77764574431053, -122.46267910849076)"
SD000360	Sunset/Parkside	94122	"(37.75134707494883, -122.50290054157183)"
SD000361	Outer Richmond	94121	"(37.77617397414555, -122.50090321170181)"
SD000362	Oceanview/Merced/Ingleside	94112	"(37.722300317227344, -122.45786701511179)"
SD000363	Outer Richmond	94121	"(37.78274630420317, -122.48567625433449)"
SD000364	Inner Sunset	94131	"(37.757243417690056, -122.46212049893886)"
SD000365	Inner Richmond	94118	"(37.78461872346899, -122.46329140024991)"
SD000366	Inner Sunset	94116	"(37.75142790633056, -122.47586378442506)"
SD000367	Inner Sunset	94131	"(37.75500621882249, -122.45538949510258)"
SD000368	South of Market	94103	"(37.7800170187942, -122.40544664638688)"
SD000369	Outer Richmond	94121	"(37.774595278203385, -122.48624322189022)"
SD000370	Inner Richmond	94118	"(37.77408903675499, -122.47097369285208)"
SD000371	Marina	94123	"(37.80064997693034, -122.43146440235635)"
SD000372	Mission	94103	"(37.765273353843575, -122.40503969129048)"
SD000373	Bayview Hunters Point	94124	"(37.729459810306906, -122.36917425305103)"
SD000374	Oceanview/Merced/Ingleside	94132	"(37.72090531692366, -122.46475063799616)"
SD000375	West of Twin Peaks	94116	"(37.743416217155804, -122.47298193400232)"
SD000376	Bernal Heights	94110	"(37.742502196410854, -122.4079557320486)"
